SRR5799796_1.fastq.gz   51M     May     11      05:11
SRR5799796_2.fastq.gz   52M     May     11      05:11
SRR5799797_1.fastq.gz   194M    May     11      05:14
SRR5799797_2.fastq.gz   180M    May     11      05:14
SRR5799798_1.fastq.gz   80M     May     12      13:22
SRR5799798_2.fastq.gz   81M     May     12      13:22
SRR5799800_1.fastq.gz   148M    May     11      05:21
SRR5799800_2.fastq.gz   168M    May     11      05:21
SRR5799801_1.fastq.gz   106M    May     11      05:23
SRR5799801_2.fastq.gz   92M     May     11      05:23
SRR5799802_1.fastq.gz   132M    May     11      05:26
SRR5799802_2.fastq.gz   117M    May     11      05:26
SRR5799803_1.fastq.gz   4M      May     11      05:28
SRR5799803_2.fastq.gz   4M      May     11      05:28
SRR5799804_1.fastq.gz   139M    May     11      05:30
SRR5799804_2.fastq.gz   124M    May     11      05:30
SRR5799805_1.fastq.gz   59M     May     11      05:32
SRR5799805_2.fastq.gz   48M     May     11      05:32
SRR5799806_1.fastq.gz   40M     May     11      05:35
SRR5799806_2.fastq.gz   49M     May     11      05:35
SRR5799807_1.fastq.gz   3M      May     11      05:37
SRR5799807_2.fastq.gz   3M      May     11      05:37
SRR5799808_1.fastq.gz   94M     May     11      05:39
SRR5799808_2.fastq.gz   80M     May     11      05:39
SRR5799809_1.fastq.gz   165M    May     11      05:42
SRR5799809_2.fastq.gz   148M    May     11      05:42
SRR5799810_1.fastq.gz   3M      May     11      05:44
SRR5799810_2.fastq.gz   3M      May     11      05:44
SRR5799811_1.fastq.gz   137M    May     11      05:47
SRR5799811_2.fastq.gz   150M    May     11      05:47
SRR5799812_1.fastq.gz   120M    May     11      05:49
SRR5799812_2.fastq.gz   116M    May     11      05:49
SRR5799813_1.fastq.gz   28M     May     11      05:51
SRR5799813_2.fastq.gz   27M     May     11      05:51
SRR5799814_1.fastq.gz   152M    May     11      05:54
SRR5799814_2.fastq.gz   172M    May     11      05:54
SRR5799815_1.fastq.gz   141M    May     11      05:56
SRR5799815_2.fastq.gz   161M    May     11      05:56
SRR5799816_1.fastq.gz   176M    May     11      05:58
SRR5799816_2.fastq.gz   155M    May     11      05:58
SRR5799817_1.fastq.gz   125M    May     11      06:01
SRR5799817_2.fastq.gz   137M    May     11      06:01
SRR5799818_1.fastq.gz   80M     May     11      06:03
SRR5799818_2.fastq.gz   84M     May     11      06:03
SRR5799819_1.fastq.gz   13M     May     11      06:05
SRR5799819_2.fastq.gz   13M     May     11      06:05
SRR5799820_1.fastq.gz   15M     May     11      06:08
SRR5799820_2.fastq.gz   12M     May     11      06:08
SRR5799821_1.fastq.gz   84M     May     11      06:10
SRR5799821_2.fastq.gz   99M     May     11      06:10
SRR5799822_1.fastq.gz   18M     May     11      06:12
SRR5799822_2.fastq.gz   20M     May     11      06:12
SRR5799823_1.fastq.gz   153M    May     11      06:14
SRR5799823_2.fastq.gz   137M    May     11      06:14
SRR5799824_1.fastq.gz   25M     May     11      06:17
SRR5799824_2.fastq.gz   30M     May     11      06:17
SRR5799825_1.fastq.gz   141M    May     11      06:19
SRR5799825_2.fastq.gz   141M    May     11      06:19
SRR5799826_1.fastq.gz   103M    May     11      06:21
SRR5799826_2.fastq.gz   104M    May     11      06:21
SRR5799827_1.fastq.gz   118M    May     11      06:24
